,Unnamed: 0.1,Unnamed: 0,id,loc,dis,mapbar,centroid,normalize
11,11,11,农安西街,"125.297225,43.942344",387,"125.298489583334,43.940429958768",0,"-0.0015030924479901842,-0.00028211805499722686"
13,13,13,豪邦四季风采,"125.295695,43.934932",1373,"125.296965060764,43.933082139757",0,"-0.0030276150179986416,-0.00762993706599957"
22,22,22,新月山庄,"125.290139,43.936219",1727,"125.291424424914,43.934354112414",0,"-0.008568250867995175,-0.0063579644089983844"
25,25,25,车轮名仕,"125.289892,43.932304",2095,"125.29118326823,43.930476345487",0,"-0.008809407551993331,-0.010235731335995979"
31,31,31,西环城路与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
33,33,33,万龙第五城,"125.302474,43.941267",693,"125.303731011285,43.939358452691",0,"0.003738335503001622,-0.0013536241319940245"
36,36,36,新月山庄,"125.290139,43.936219",1727,"125.291424424914,43.934354112414",0,"-0.008568250867995175,-0.0063579644089983844"
39,39,39,新月山庄,"125.290139,43.936219",1727,"125.291424424914,43.934354112414",0,"-0.008568250867995175,-0.0063579644089983844"
40,40,40,新大华府,"125.298724,43.942621",1,"125.299992675782,43.940712076823",0,"0.0,0.0"
45,45,45,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
47,47,47,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
52,52,52,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
53,53,53,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
88,89,89,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
90,91,91,农安南街与青年路交汇处,"125.294014,43.933118",1335,"125.295291341146,43.931271158855",0,"-0.004701334635996091,-0.009440917967999951"
91,92,92,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
93,94,94,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
94,95,95,农安南街与青年路交汇处,"125.294014,43.933118",1335,"125.295291341146,43.931271158855",0,"-0.004701334635996091,-0.009440917967999951"
95,96,96,万龙北斗星城A区,"125.296381,43.942886",530,"125.297657877605,43.94096842448",0,"-0.0023347981769887838,0.00025634765700033313"
101,103,103,"基隆北街与新月路交汇 
","125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
107,109,109,青年路车轮厂宿舍,"125.293352,43.935658",1781,"125.294630533855,43.933798828125",0,"-0.005362141926994468,-0.006913248697998142"
108,110,110,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
